,id_material,codigo_material,caracteristicas,tempo_estabilizacao,id_precedencias,fator_inc,descricao_material,unidade_material,centro trabalho
14478,14478,70023638,"{'AGL_ESPESSURA': '6', 'AGL_REFERENCIA': '8827', 'AGL_EMBALAGEM': 'CA', 'AGL_LARGURA': '500', 'AGL_COMPRIMENTO': '1000', 'AGL_ACABAMENTO': 'S11'}",3,[10352],[1.0],"PL CC 8827/S11 1000X500X6,0 CA",PL,CNMEMBPL
14479,14479,70023639,"{'AGL_ACABAMENTO': '000', 'AGL_EMBALAGEM': 'NE', 'AGL_ESPESSURA': '1,0', 'AGL_REFERENCIA': '8245', 'AGL_LARGURA': '1200', 'AGL_COMPRIMENTO': '150M'}",3,[3202],[0.17],"RL CC 8245/000 1200X1,0-150M NE",ROL,CNMLAMRL
14480,14480,70023640,"{'AGL_ESPESSURA': '2,0', 'AGL_ACABAMENTO': '000', 'AGL_REFERENCIA': '8245', 'AGL_LARGURA': '1200', 'AGL_EMBALAGEM': 'NE', 'AGL_COMPRIMENTO': '75M'}",3,[3202],[0.17],"RL CC 8245/000 1200X2,0-75M NE",ROL,CNMVSMRL
14481,14481,70023641,"{'AGL_COMPRIMENTO': '50M', 'AGL_EMBALAGEM': 'NE', 'AGL_ACABAMENTO': '000', 'AGL_REFERENCIA': '8245', 'AGL_ESPESSURA': '3,0', 'AGL_LARGURA': '1200'}",3,[3202],[0.17],"RL CC 8245/000 1200X3,0-50M NE",ROL,CNMVSMRL
14482,14482,70023642,"{'AGL_ACABAMENTO': '000', 'AGL_REFERENCIA': '8245', 'AGL_ESPESSURA': '2,5', 'AGL_EMBALAGEM': 'NE', 'AGL_LARGURA': '1200', 'AGL_COMPRIMENTO': '60M'}",3,[3202],[0.17],"RL CC 8245/000 1200X2,5-60M NE",ROL,CNMVSMRL
14483,14483,70023643,"{'AGL_LARGURA': '640', 'AGL_EMBALAGEM': 'NE', 'AGL_ESPESSURA': '4,0', 'AGL_REFERENCIA': '8405', 'AGL_ACABAMENTO': 'S21', 'AGL_COMPRIMENTO': '940'}",3,[6020],[0.016129],"PL CC 8405/S21 940X640X4,0 NE",PL,CNMLAMLX
14484,14484,70023644,"{'AGL_EMBALAGEM': '04', 'AGL_LARGURA': '1000', 'AGL_COMPRIMENTO': '10M', 'AGL_REFERENCIA': '5173', 'AGL_ESPESSURA': '2', 'AGL_ACABAMENTO': '000'}",0,[7289],[1.0],"RL CI 5173/000 1000X2,0-10M 04",ROL,CNMVSMEB
14485,14485,70023645,"{'AGL_COMPRIMENTO': '10M', 'AGL_REFERENCIA': '5080', 'AGL_LARGURA': '1000', 'AGL_ESPESSURA': '2', 'AGL_ACABAMENTO': '000', 'AGL_EMBALAGEM': '04'}",0,[7547],[1.0],"RL CI 5080/000 1000X2,0-10M 04",ROL,CNMVSMEB
14486,14486,70023646,"{'AGL_ACABAMENTO': '000', 'AGL_EMBALAGEM': '01', 'AGL_REFERENCIA': '5166', 'AGL_COMPRIMENTO': '10M', 'AGL_ESPESSURA': '2,0', 'AGL_LARGURA': '1000'}",0,[14487],[1.0],"RL CI 5166/000 1000X2,0-10M 01",ROL,CNMVSMEB
14487,14487,70023647,"{'AGL_EMBALAGEM': 'NE', 'AGL_COMPRIMENTO': '10M', 'AGL_ACABAMENTO': '000', 'AGL_REFERENCIA': '5166', 'AGL_ESPESSURA': '2,0', 'AGL_LARGURA': '1000'}",0,"[4988, 14548]","[0.03125, 10.17]","RL CI 5166/000 1000X2,0-10M NE",ROL,CNMREBMA
14488,14488,70023648,"{'AGL_REFERENCIA': '8210', 'AGL_LARGURA': '1000', 'AGL_ACABAMENTO': '000', 'AGL_EMBALAGEM': '35', 'AGL_ESPESSURA': '2', 'AGL_COMPRIMENTO': '10M'}",3,[6740],[1.0],"RL CC 8210/000 1000X2,0-10M 35",ROL,CNMVSMEB
14489,14489,70023649,"{'AGL_ESPESSURA': '3', 'AGL_EMBALAGEM': '07', 'AGL_LARGURA': '1000', 'AGL_REFERENCIA': '5057', 'AGL_COMPRIMENTO': '10M', 'AGL_ACABAMENTO': '000'}",0,[6631],[10.0],"RL CI 5057/000 1000X3,0-10M 07",ROL,CRMVSMRL
14490,14490,70023650,"{'AGL_ESPESSURA': '2,5', 'AGL_ACABAMENTO': '000', 'AGL_EMBALAGEM': '01', 'AGL_COMPRIMENTO': '10M', 'AGL_REFERENCIA': '5057', 'AGL_LARGURA': '1000'}",0,[8530],[10.0],"RL CI 5057/000 1000X2,5-10M 01",ROL,CRMVSMRL
14491,14491,70023651,"{'AGL_ESPESSURA': '1,8', 'AGL_COMPRIMENTO': '10M', 'AGL_COMBINACAO': 'C257', 'AGL_ACABAMENTO': '000', 'AGL_EMBALAGEM': '02', 'AGL_LARGURA': '1000'}",0,[14370],[1.0],"RL ML C257/000 1000X1,8-10M 02",ROL,CCSEBAAC
14492,14492,70023652,"{'AGL_ACABAMENTO': '000', 'AGL_COMPRIMENTO': '10M', 'AGL_ESPESSURA': '1,6', 'AGL_EMBALAGEM': '06', 'AGL_REFERENCIA': '5923', 'AGL_LARGURA': '1000'}",0,[6934],[10.0],"RL CI 5923/000 1000X1,6-10M 06",ROL,CRMVSMRL
14493,14493,70023653,"{'AGL_EMBALAGEM': '10', 'AGL_COMPRIMENTO': '940', 'AGL_REFERENCIA': '8303', 'AGL_ACABAMENTO': 'S21', 'AGL_LARGURA': '640', 'AGL_ESPESSURA': '20'}",3,[6220],[1.0],"PL CC 8303/S21 940X640X20,0 10",PL,CNMEMBPL
14494,14494,70023654,"{'AGL_ACABAMENTO': '000', 'AGL_EMBALAGEM': '01', 'AGL_LARGURA': '500', 'AGL_ESPESSURA': '2', 'AGL_COMPRIMENTO': '10M', 'AGL_REFERENCIA': '8275'}",3,[8651],[1.0],"RL CC 8275/000 500X2,0-10M 01",ROL,CNMEMBMM
14495,14495,70023655,"{'AGL_ESPESSURA': '2', 'AGL_LARGURA': '1000', 'AGL_COMPRIMENTO': '10M', 'AGL_EMBALAGEM': '01', 'AGL_ACABAMENTO': '000', 'AGL_REFERENCIA': '8275'}",3,[13299],[1.0],"RL CC 8275/000 1000X2,0-10M 01",ROL,CNMEMBMA
14496,14496,70023656,"{'AGL_EMBALAGEM': '13', 'AGL_ESPESSURA': '12', 'AGL_COMPRIMENTO': '915', 'AGL_REFERENCIA': '8002', 'AGL_LARGURA': '610', 'AGL_ACABAMENTO': '000'}",3,[5749],[1.0],"PL CC 8002/000 915X610X12,0 13",PL,CNMEMBPL
14497,14497,70023657,"{'AGL_REFERENCIA': '8002', 'AGL_EMBALAGEM': '12', 'AGL_ESPESSURA': '20', 'AGL_COMPRIMENTO': '915', 'AGL_LARGURA': '610', 'AGL_ACABAMENTO': '000'}",3,[5754],[1.0],"PL CC 8002/000 915X610X20,0 12",PL,CNMEMBPL
14498,14498,70023658,"{'AGL_COMPRIMENTO': '915', 'AGL_LARGURA': '610', 'AGL_REFERENCIA': '8002', 'AGL_ESPESSURA': '25', 'AGL_EMBALAGEM': '17', 'AGL_ACABAMENTO': '000'}",3,[5755],[1.0],"PL CC 8002/000 915X610X25,0 17",PL,CNMEMBPL
14499,14499,70023659,"{'AGL_REFERENCIA': '8405', 'AGL_LARGURA': '640', 'AGL_ACABAMENTO': 'S21', 'AGL_COMPRIMENTO': '940', 'AGL_EMBALAGEM': '05', 'AGL_ESPESSURA': '20'}",3,[6020],[0.09090999999999999],"PL CC 8405/S21 940X640X20,0 05",PL,CNMLAMLX
14500,14500,70023660,"{'AGL_ESPESSURA': '30', 'AGL_ACABAMENTO': 'S21', 'AGL_REFERENCIA': '8405', 'AGL_LARGURA': '640', 'AGL_EMBALAGEM': '06', 'AGL_COMPRIMENTO': '940'}",3,[6020],[0.125],"PL CC 8405/S21 940X640X30,0 06",PL,CNMLAMLX
14501,14501,70023664,"{'AGL_REFERENCIA': '8003', 'AGL_EMBALAGEM': 'NE', 'AGL_ESPESSURA': '5', 'AGL_COMPRIMENTO': '900', 'AGL_LARGURA': '600', 'AGL_ACABAMENTO': 'S11'}",3,[11936],[0.02084],"PL CC 8003/S11 900X600X5,0 NE",PL,CNMLAMLX
14502,14502,70023665,"{'AGL_ESPESSURA': '5', 'AGL_COMPRIMENTO': '900', 'AGL_ACABAMENTO': 'S11', 'AGL_LARGURA': '600', 'AGL_REFERENCIA': '8003', 'AGL_EMBALAGEM': '01'}",3,[14501],[1.0],"PL CC 8003/S11 900X600X5,0 01",PL,CNMEMBPL
14503,14503,70023666,"{'AGL_EMBALAGEM': 'NE', 'AGL_COMPRIMENTO': '915', 'AGL_LARGURA': '610', 'AGL_ESPESSURA': '190', 'AGL_REFERENCIA': '8113', 'AGL_ACABAMENTO': 'PXX'}",3,[11916],[1.0],BL CC 8113/PXX 915X610X190 NE,BL,CNMLAMPL
14504,14504,70023667,"{'AGL_ESPESSURA': '190', 'AGL_EMBALAGEM': '01', 'AGL_COMPRIMENTO': '915', 'AGL_LARGURA': '610', 'AGL_REFERENCIA': '8113', 'AGL_ACABAMENTO': 'PXX'}",3,[14503],[1.0],BL CC 8113/PXX 915X610X190 01,BL,CNMEMBIN
14505,14505,70023668,"{'AGL_ESPESSURA': '10', 'CERTIFICACAO': 'FSC MIX CREDIT', 'AGL_EMBALAGEM': '04', 'AGL_REFERENCIA': '8810', 'AGL_ACABAMENTO': '000', 'AGL_COMPRIMENTO': '500', 'AGL_LARGURA': '500'}",3,[5738],[1.0],"PL CC M 8810/000 500X500X10,0 04",PL,CCSEBMME
14506,14506,70023675,"{'AGL_REFERENCIA': '1523', 'AGL_ESPESSURA': '6,4', 'AGL_EMBALAGEM': 'NE', 'AGL_LARGURA': '915', 'AGL_ACABAMENTO': '000', 'AGL_COMPRIMENTO': '915'}",0,[1318],[0.04348],"PL CR 1523/000 915X915X6,4 NE",PL,CRMLAMPL
14507,14507,70023676,"{'AGL_COMPRIMENTO': '915', 'AGL_REFERENCIA': '1523', 'AGL_ACABAMENTO': 'PR2', 'AGL_EMBALAGEM': '01', 'AGL_LARGURA': '915', 'AGL_ESPESSURA': '6,4'}",0,[14506],[1.0],"PL CR 1523/PR2 915X915X6,4 01",PL,CRMEMBPL
14508,14508,70023678,"{'AGL_COMPRIMENTO': '915', 'AGL_REFERENCIA': 'SP52', 'AGL_ESPESSURA': '30,0', 'AGL_ACABAMENTO': 'PXX', 'AGL_LARGURA': '457', 'AGL_EMBALAGEM': '01'}",0,[14427],[1.0],"PL CR SP52/PXX 915X457X30,0 01",PL,CRMEMBPL
14509,14509,70023679,"{'AGL_ESPESSURA': '17/8', 'AGL_COMPRIMENTO': '9M', 'AGL_EMBALAGEM': 'UK', 'AGL_LARGURA': '1000', 'AGL_ACABAMENTO': 'PAK', 'AGL_REFERENCIA': '5400'}",0,[8404],[9.0],RL CI 5400/PAK 1000X17/8-9M UK,ROL,CRMRLMEI
14510,14510,70023680,"{'AGL_EMBALAGEM': 'B0', 'AGL_ACABAMENTO': '000', 'AGL_ESPESSURA': '6,0', 'AGL_LARGURA': '1000', 'AGL_REFERENCIA': '8210', 'AGL_COMPRIMENTO': '20M'}",3,[14511],[1.0],"RL CC 8210/000 1000X6,0-20M B0",ROL,CNMVSMEB
14511,14511,70023681,"{'AGL_ACABAMENTO': '000', 'AGL_ESPESSURA': '6,0', 'AGL_COMPRIMENTO': '20M', 'AGL_EMBALAGEM': 'NE', 'AGL_LARGURA': '1000', 'AGL_REFERENCIA': '8210'}",3,[3482],[0.14],"RL CC 8210/000 1000X6,0-20M NE",ROL,CNMVSMRL
14512,14512,70023682,"{'AGL_ESPESSURA': '1,1', 'AGL_REFERENCIA': '8240', 'AGL_ACABAMENTO': 'PAK', 'AGL_LARGURA': '1000', 'AGL_EMBALAGEM': 'NE'}",3,[3459],[0.0012224938875305623],"RL CC 8249/PAK 1000X1,1 NE",M,CNMLAMRL
14513,14513,70023683,"{'AGL_REFERENCIA': '8240', 'AGL_ACABAMENTO': '000', 'AGL_ESPESSURA': '0,9', 'AGL_COMPRIMENTO': '330M', 'AGL_LARGURA': '1040', 'AGL_EMBALAGEM': '01'}",3,[13998],[0.34],"RL CC 8240/000 1040X0,9-330M 01",ROL,CNMLAMRL
14514,14514,70023684,"{'AGL_ACABAMENTO': '000', 'AGL_EMBALAGEM': '00', 'AGL_COMPRIMENTO': '225M', 'AGL_LARGURA': '1500', 'AGL_ESPESSURA': '0,6', 'AGL_REFERENCIA': '8235'}",3,[14547],[1.0],"RL CC 8235/000 1500X0,6-225M 01",ROL,CNMEMBRL
14515,14515,70023689,"{'AGL_ESPESSURA': '10', 'AGL_ACABAMENTO': 'PTH', 'AGL_EMBALAGEM': '05', 'AGL_LARGURA': '500', 'AGL_REFERENCIA': '8058', 'AGL_COMPRIMENTO': '1000'}",3,[5865],[1.0],"PL CC 8058/PTH 1000X500X10,0 05",PL,CNMEMBPL
14516,14516,70023690,"{'AGL_EMBALAGEM': '01', 'AGL_REFERENCIA': '8210', 'AGL_LARGURA': '1000', 'AGL_ESPESSURA': '8,0', 'AGL_COMPRIMENTO': '20M', 'AGL_ACABAMENTO': '000'}",3,[14517],[1.0],"RL CC 8210/000 1000X8,0-20M 01",ROL,CNMEMBRL
14517,14517,70023691,"{'AGL_ESPESSURA': '8,0', 'AGL_ACABAMENTO': '000', 'AGL_REFERENCIA': '8210', 'AGL_COMPRIMENTO': '20M', 'AGL_LARGURA': '1000', 'AGL_EMBALAGEM': 'NE'}",3,[3482],[0.179],"RL CC 8210/000 1000X8,0-20M NE",ROL,CNMLAMRL
14518,14518,70023692,"{'AGL_REFERENCIA': '8002', 'AGL_ESPESSURA': '6,0', 'AGL_EMBALAGEM': '01', 'AGL_LARGURA': '610', 'AGL_ACABAMENTO': 'PSC', 'AGL_COMPRIMENTO': '915'}",3,[14519],[1.0],"PL CC 8002/PSC 915X610X6,0 01",PL,CNMEMBPL
14519,14519,70023693,"{'AGL_EMBALAGEM': 'NE', 'AGL_LARGURA': '610', 'AGL_COMPRIMENTO': '915', 'AGL_REFERENCIA': '8002', 'AGL_ESPESSURA': '6,0', 'AGL_ACABAMENTO': 'PSC'}",3,[5675],[0.024390000000000002],"PL CC 8002/PSC 915X610X6,0 NE",PL,CNMLAMPL
14520,14520,70023694,"{'AGL_ESPESSURA': '30,0', 'AGL_COMPRIMENTO': '950', 'AGL_ACABAMENTO': '000', 'AGL_LARGURA': '650', 'AGL_EMBALAGEM': '01', 'AGL_REFERENCIA': '8703'}",0,[10589],[1.0],"PL CC 8703/000 950X650X30,0 01",PL,CNMEMBPL
14521,14521,70023695,"{'AGL_REFERENCIA': '8303', 'AGL_LARGURA': '500', 'AGL_ACABAMENTO': '000', 'AGL_COMPRIMENTO': '1000', 'AGL_EMBALAGEM': '01', 'AGL_ESPESSURA': '30,0'}",3,[14532],[1.0],"PL CC 8303/000 1000X500X30,0 01",PL,CNMEMBPL
