Nome planejador,Status ordem de produção,Tipo de Ordem de produção/planeada,Ordem Venda / Transferência,Item OV/Transferência,Ship to,Responsável SAC,Ordem de produção / planeada,Data-base do início,Data-base do fim,Data desejada de saída de mercadoria,Semana saída de mercadoria,Material de produção,Texto breve de material,Quantidade total da ordem,Componente,Descritivo componente,Qtd.necessária,Descritivo de Centro de Trabalho,Centro de trabalho,Duração da operação,País Destino,Quantidade fornecida ordem de produção
CRM - Transformaçã,ABER,ZRRL,3820015619,10,,,1600109366,10/12/2021,11/12/2021,,0,70007233,"PL CR S112/S21 300X300X35,0 NE",12.000,70007232,"PL CR S112/000 300X300X37,0 NE",12.000,CRM-LIXADORA BORRACHA,CRMLIXPL,0.040,,0.000
CRM - Transformaçã,ABER,ZRRL,3820015619,10,,,1600109367,10/12/2021,11/12/2021,,0,70007232,"PL CR S112/000 300X300X37,0 NE",12.000,70025302,BL CR S112/000 300X300X152 NE,4.000,CRM - SERRA 19,CRMSER19,0.400,,0.000
CRM - Transformaçã,ABER,ZRRL,3820015619,10,,,1600109368,10/12/2021,10/12/2021,,0,70025302,BL CR S112/000 300X300X152 NE,4.000,70001134,BL CR S112/000 915X915X152 NE,0.445,CRM-SERRA 05,CRMSER05,0.059,,0.000
GMT,ABER,ZGEB,3820015618,10,CORK KIYONG,DMEDEIROS,1600109406,26/11/2021,26/11/2021,25/10/2021,202148,41000426,"GRAN MD 0,5/1 75-85 SE SA006",2 000.000,41000322,"GRAN MD 0,5/1 75-85 SE GR",2 000.000,GMT-EMBALAGEM,GMTEMBAL,1.538,KR,0.000
CNM - Transformaçã,ABER,ZNEP,3820015617,10,"3DC - INTELLIGENT NATURE, LDA",DMEDEIROS,1600109074,26/10/2021,27/10/2021,22/10/2021,202144,70015106,"PL CC 8004/S21 940X640X62,0 01",6.000,70015113,"PL CC 8004/000 940X640X64,0 NE",6.000,CNM-LAMINADORA/LIXADORA PLACAS,CNMLAMLX,0.060,PT,0.000
CNM - Transformaçã,ABER,ZNPL,3820015617,10,,,1600109075,26/10/2021,27/10/2021,,0,70015113,"PL CC 8004/000 940X640X64,0 NE",6.000,70005850,BL CC 8004/ORT 940X640X250 NE,2.061,CNM-SERRA PLACAS,CNMSERPL,0.100,,0.000
CRM - Transformaçã,ABER,ZRRL,3820015616,10,PALOMA VIETNAM CO. LTD.,DMEDEIROS,1600109370,03/12/2021,03/12/2021,25/10/2021,202149,70005455,"PL CR N709/T01 900X900X1,6 01",3 600.000,70006317,"PL CR N709/T01 900X900X1,6 NE",3 600.000,CRM-EMBALAGEM BORRACHA,CRMEMBPL,2.581,VN,0.000
CRM - Transformaçã,ABER,ZRRL,3820015616,10,,,1600109371,03/12/2021,04/12/2021,,0,70006317,"PL CR N709/T01 900X900X1,6 NE",3 600.000,70007074,"PL CR N709/T01 915X915X1,6 NE",3 600.000,CRM-GUILHOTINA BORRACHA,CRMGUILH,2.400,,0.000
CRM - Transformaçã,ABER,ZRRL,3820015616,10,,,1600109372,30/11/2021,04/12/2021,,0,70007074,"PL CR N709/T01 915X915X1,6 NE",3 600.000,70000793,BL CR N709/000 915X915X152 NE,42.029,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,51.429,,0.000
CRM - Transformaçã,ABER,ZRPE,3820015606,10,KORKEN SCHIESSER GMBH,LRIBEIRO,1600109474,26/11/2021,26/11/2021,12/11/2021,202149,70026312,"PL CR RU04/PTS 1000X1000X6,0 01",100.000,70026311,"PL CR RU04/PTS 1000X1000X6,0 NE",100.000,CRM-EMBALAGEM BORRACHA,CRMEMBPL,0.267,AT,0.000
